UnderlyingSymbol,UnderlyingPrice,OptionSymbol,DataDate,Last,Delta,Vega,Multiplier,Signal
AAPL,208.49,AAPL190830C00197500,08/30/2019,10.2,1,0,100,1
AAPL,208.49,AAPL190830P00197500,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190830C00200000,08/30/2019,7.75,1,0,100,-1
AAPL,208.49,AAPL190830P00200000,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830C00202500,08/30/2019,5.75,1,0,100,-1
AAPL,208.49,AAPL190830P00202500,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830C00205000,08/30/2019,3.35,1,0,100,1
AAPL,208.49,AAPL190830P00205000,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830C00207500,08/30/2019,0.97,1,0,100,-1
AAPL,208.49,AAPL190830P00207500,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830C00210000,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830P00210000,08/30/2019,1.5,-1,0,100,-1
AAPL,208.49,AAPL190830C00212500,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190830P00212500,08/30/2019,3.91,-1,0,100,-1
AAPL,208.49,AAPL190830C00215000,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830P00215000,08/30/2019,7.31,-1,0,100,-1
AAPL,208.49,AAPL190830C00217500,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190830P00217500,08/30/2019,9.15,-1,0,100,-1
AAPL,208.49,AAPL190830C00220000,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830P00220000,08/30/2019,11.17,-1,0,100,-1
AAPL,208.49,AAPL190830C00222500,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190830P00222500,08/30/2019,17.9,-1,0,100,1
AAPL,208.49,AAPL190830C00225000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830P00225000,08/30/2019,16.94,-1,0,100,-1
AAPL,208.49,AAPL190830C00227500,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830P00227500,08/30/2019,15.6,-1,0,100,-1
AAPL,208.49,AAPL190830C00230000,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190830P00230000,08/30/2019,22.36,-1,0,100,1
AAPL,208.49,AAPL190830C00232500,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830P00232500,08/30/2019,26.7,-1,0,100,-1
AAPL,208.49,AAPL190830C00235000,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830P00235000,08/30/2019,29.2,-1,0,100,-1
AAPL,208.49,AAPL190830C00237500,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830P00237500,08/30/2019,24.85,-1,0,100,-1
AAPL,208.49,AAPL190830C00240000,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830P00240000,08/30/2019,34.2,-1,0,100,-1
AAPL,208.49,AAPL190830C00242500,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190830P00242500,08/30/2019,36.7,-1,0,100,-1
AAPL,208.49,AAPL190830C00245000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830P00245000,08/30/2019,0,-1,0,100,1
AAPL,208.49,AAPL190830C00247500,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830P00247500,08/30/2019,0,-1,0,100,-1
AAPL,208.49,AAPL190830C00250000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190830P00250000,08/30/2019,44.2,-1,0,100,1
AAPL,208.49,AAPL190906C00130000,08/30/2019,78.14,1,0,100,1
AAPL,208.49,AAPL190906P00130000,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190906C00135000,08/30/2019,0,1,0,100,-1
AAPL,208.49,AAPL190906P00135000,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190906C00140000,08/30/2019,63.05,1,0,100,1
AAPL,208.49,AAPL190906P00140000,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190906C00145000,08/30/2019,67.95,1,0,100,1
AAPL,208.49,AAPL190906P00145000,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190906C00150000,08/30/2019,52.46,1,0,100,-1
AAPL,208.49,AAPL190906P00150000,08/30/2019,0.02,0,0,100,-1
AAPL,208.49,AAPL190906C00152500,08/30/2019,0,1,0,100,1
AAPL,208.49,AAPL190906P00152500,08/30/2019,0.02,0,0,100,-1
AAPL,208.49,AAPL190906C00155000,08/30/2019,54.85,1,0,100,-1
AAPL,208.49,AAPL190906P00155000,08/30/2019,0.03,0,0,100,1
AAPL,208.49,AAPL190906C00157500,08/30/2019,48.25,1,0,100,1
AAPL,208.49,AAPL190906P00157500,08/30/2019,0.02,0,0,100,-1
AAPL,208.49,AAPL190906C00160000,08/30/2019,44.1,1,0,100,-1
AAPL,208.49,AAPL190906P00160000,08/30/2019,0.03,0,0.0002,100,-1
AAPL,208.49,AAPL190906C00162500,08/30/2019,42.4,1,0,100,-1
AAPL,208.49,AAPL190906P00162500,08/30/2019,0.03,0,0.0005,100,1
AAPL,208.49,AAPL190906C00165000,08/30/2019,0,1,0,100,-1
AAPL,208.49,AAPL190906P00165000,08/30/2019,0.04,0,0.0017,100,1
AAPL,208.49,AAPL190906C00167500,08/30/2019,0,1,0,100,1
AAPL,208.49,AAPL190906P00167500,08/30/2019,0.05,0,0.0051,100,1
AAPL,208.49,AAPL190906C00170000,08/30/2019,37.96,1,0,100,-1
AAPL,208.49,AAPL190906P00170000,08/30/2019,0.05,-0.0001,0.0138,100,-1
AAPL,208.49,AAPL190906C00172500,08/30/2019,0,1,0,100,1
AAPL,208.49,AAPL190906P00172500,08/30/2019,0.06,-0.0003,0.0343,100,-1
AAPL,208.49,AAPL190906C00175000,08/30/2019,38.5,1,0.0001,100,-1
AAPL,208.49,AAPL190906P00175000,08/30/2019,0.08,-0.0008,0.0789,100,1
AAPL,208.49,AAPL190906C00177500,08/30/2019,29.2,1,0.0003,100,-1
AAPL,208.49,AAPL190906P00177500,08/30/2019,0.09,-0.0019,0.1685,100,1
AAPL,208.49,AAPL190906C00180000,08/30/2019,29.89,1,0.0019,100,1
AAPL,208.49,AAPL190906P00180000,08/30/2019,0.11,-0.0041,0.3346,100,-1
AAPL,208.49,AAPL190906C00182500,08/30/2019,25.6,0.9999,0.0089,100,1
AAPL,208.49,AAPL190906P00182500,08/30/2019,0.14,-0.0083,0.6197,100,-1
AAPL,208.49,AAPL190906C00185000,08/30/2019,22.61,0.9997,0.035,100,1
AAPL,208.49,AAPL190906P00185000,08/30/2019,0.17,-0.0156,1.0734,100,1
AAPL,208.49,AAPL190906C00187500,08/30/2019,20.65,0.9987,0.1172,100,1
AAPL,208.49,AAPL190906P00187500,08/30/2019,0.19,-0.0276,1.7432,100,1
AAPL,208.49,AAPL190906C00190000,08/30/2019,18.34,0.9959,0.3358,100,1
AAPL,208.49,AAPL190906P00190000,08/30/2019,0.23,-0.0453,2.6181,100,-1
AAPL,208.49,AAPL190906C00192500,08/30/2019,15.4,0.9885,0.8283,100,-1
AAPL,208.49,AAPL190906P00192500,08/30/2019,0.31,-0.0572,3.1523,100,1
AAPL,208.49,AAPL190906C00195000,08/30/2019,13.1,0.9719,1.7688,100,1
AAPL,208.49,AAPL190906P00195000,08/30/2019,0.36,-0.0777,3.9944,100,-1
AAPL,208.49,AAPL190906C00197500,08/30/2019,11.15,0.9396,3.2878,100,1
AAPL,208.49,AAPL190906P00197500,08/30/2019,0.49,-0.106,5.0275,100,-1
AAPL,208.49,AAPL190906C00200000,08/30/2019,9.12,0.8495,6.4183,100,-1
AAPL,208.49,AAPL190906P00200000,08/30/2019,0.69,-0.1515,6.4455,100,1
AAPL,208.49,AAPL190906C00202500,08/30/2019,6.95,0.7801,8.1289,100,1
AAPL,208.49,AAPL190906P00202500,08/30/2019,1,-0.2183,8.0961,100,1
AAPL,208.49,AAPL190906C00205000,08/30/2019,5.25,0.6902,9.686,100,1
AAPL,208.49,AAPL190906P00205000,08/30/2019,1.58,-0.3112,9.7051,100,1
AAPL,208.49,AAPL190906C00207500,08/30/2019,3.55,0.5621,10.8232,100,-1
AAPL,208.49,AAPL190906P00207500,08/30/2019,2.31,-0.4382,10.8246,100,1
AAPL,208.49,AAPL190906C00210000,08/30/2019,2.15,0.425,10.7619,100,1
AAPL,208.49,AAPL190906P00210000,08/30/2019,3.5,-0.5746,10.764,100,1
AAPL,208.49,AAPL190906C00212500,08/30/2019,1.15,0.2859,9.3374,100,-1
AAPL,208.49,AAPL190906P00212500,08/30/2019,4.96,-0.6601,10.0623,100,1
AAPL,208.49,AAPL190906C00215000,08/30/2019,0.51,0.1598,6.6754,100,1
AAPL,208.49,AAPL190906P00215000,08/30/2019,7.2,-0.8661,5.9294,100,-1
AAPL,208.49,AAPL190906C00217500,08/30/2019,0.23,0.0913,4.5088,100,-1
AAPL,208.49,AAPL190906P00217500,08/30/2019,10.35,-0.9377,3.3708,100,-1
AAPL,208.49,AAPL190906C00220000,08/30/2019,0.11,0.0416,2.4435,100,1
AAPL,208.49,AAPL190906P00220000,08/30/2019,12.15,-0.9749,1.6118,100,1
AAPL,208.49,AAPL190906C00222500,08/30/2019,0.06,0.0238,1.54,100,-1
AAPL,208.49,AAPL190906P00222500,08/30/2019,15.1,-0.9912,0.6521,100,-1
AAPL,208.49,AAPL190906C00225000,08/30/2019,0.04,0.0142,0.9912,100,-1
AAPL,208.49,AAPL190906P00225000,08/30/2019,16.6,-0.9974,0.2245,100,-1
AAPL,208.49,AAPL190906C00227500,08/30/2019,0.03,0.0077,0.5798,100,-1
AAPL,208.49,AAPL190906P00227500,08/30/2019,20.05,-0.9993,0.0661,100,-1
AAPL,208.49,AAPL190906C00230000,08/30/2019,0.02,0.0031,0.2625,100,-1
AAPL,208.49,AAPL190906P00230000,08/30/2019,21.1,-0.9998,0.0168,100,1
AAPL,208.49,AAPL190906C00232500,08/30/2019,0.01,0.0012,0.1093,100,-1
AAPL,208.49,AAPL190906P00232500,08/30/2019,27.7,-1,0.0037,100,-1
AAPL,208.49,AAPL190906C00235000,08/30/2019,0,0.0004,0.0419,100,-1
AAPL,208.49,AAPL190906P00235000,08/30/2019,30.2,-1,0.0007,100,1
AAPL,208.49,AAPL190906C00237500,08/30/2019,0,0.0001,0.0149,100,1
AAPL,208.49,AAPL190906P00237500,08/30/2019,0,-1,0.0001,100,-1
AAPL,208.49,AAPL190906C00240000,08/30/2019,0.05,0,0.0049,100,1
AAPL,208.49,AAPL190906P00240000,08/30/2019,0,-1,0,100,1
AAPL,208.49,AAPL190906C00242500,08/30/2019,0.01,0,0.0015,100,-1
AAPL,208.49,AAPL190906P00242500,08/30/2019,0,-1,0,100,-1
AAPL,208.49,AAPL190906C00245000,08/30/2019,0.01,0,0.0004,100,-1
AAPL,208.49,AAPL190906P00245000,08/30/2019,0,-1,0,100,1
AAPL,208.49,AAPL190906C00247500,08/30/2019,0,0,0.0001,100,1
AAPL,208.49,AAPL190906P00247500,08/30/2019,0,-1,0,100,1
AAPL,208.49,AAPL190906C00250000,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190906P00250000,08/30/2019,0,-1,0,100,1
AAPL,208.49,AAPL190906C00255000,08/30/2019,0.03,0,0,100,1
AAPL,208.49,AAPL190906P00255000,08/30/2019,0,-1,0,100,-1
AAPL,208.49,AAPL190906C00260000,08/30/2019,0,0,0,100,1
AAPL,208.49,AAPL190906P00260000,08/30/2019,51.18,-1,0,100,-1
AAPL,208.49,AAPL190913C00130000,08/30/2019,78.93,1,0,100,-1
AAPL,208.49,AAPL190913P00130000,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190913C00135000,08/30/2019,67.85,1,0,100,1
AAPL,208.49,AAPL190913P00135000,08/30/2019,0.01,0,0.0002,100,-1
AAPL,208.49,AAPL190913C00140000,08/30/2019,0,1,0,100,1
AAPL,208.49,AAPL190913P00140000,08/30/2019,0.02,0,0.0011,100,1
AAPL,208.49,AAPL190913C00145000,08/30/2019,0,1,0,100,-1
AAPL,208.49,AAPL190913P00145000,08/30/2019,0.03,0,0.0056,100,-1
AAPL,208.49,AAPL190913C00150000,08/30/2019,0,1,0.0002,100,1
AAPL,208.49,AAPL190913P00150000,08/30/2019,0.04,-0.0001,0.0226,100,1
AAPL,208.49,AAPL190913C00152500,08/30/2019,49.45,1,0.0006,100,-1
AAPL,208.49,AAPL190913P00152500,08/30/2019,0.05,-0.0003,0.0426,100,-1
AAPL,208.49,AAPL190913C00155000,08/30/2019,0,1,0.0017,100,-1
AAPL,208.49,AAPL190913P00155000,08/30/2019,0.06,-0.0005,0.0769,100,-1
AAPL,208.49,AAPL190913C00157500,08/30/2019,0,1,0.0044,100,-1
AAPL,208.49,AAPL190913P00157500,08/30/2019,0.08,-0.001,0.1334,100,-1
AAPL,208.49,AAPL190913C00160000,08/30/2019,0,0.9999,0.0107,100,-1
AAPL,208.49,AAPL190913P00160000,08/30/2019,0.09,-0.0017,0.2227,100,-1
AAPL,208.49,AAPL190913C00162500,08/30/2019,0,0.9998,0.0243,100,1
AAPL,208.49,AAPL190913P00162500,08/30/2019,0.11,-0.0029,0.3586,100,-1
AAPL,208.49,AAPL190913C00165000,08/30/2019,0,0.9996,0.052,100,1
AAPL,208.49,AAPL190913P00165000,08/30/2019,0.12,-0.0048,0.5577,100,1
AAPL,208.49,AAPL190913C00167500,08/30/2019,40.65,0.9992,0.105,100,1
AAPL,208.49,AAPL190913P00167500,08/30/2019,0.14,-0.0076,0.8389,100,-1
AAPL,208.49,AAPL190913C00170000,08/30/2019,32.9,0.9984,0.2005,100,-1
AAPL,208.49,AAPL190913P00170000,08/30/2019,0.18,-0.0118,1.2221,100,1
AAPL,208.49,AAPL190913C00172500,08/30/2019,33.6,0.997,0.3631,100,1
AAPL,208.49,AAPL190913P00172500,08/30/2019,0.21,-0.0176,1.7266,100,-1
AAPL,208.49,AAPL190913C00175000,08/30/2019,31.25,0.9945,0.625,100,-1
AAPL,208.49,AAPL190913P00175000,08/30/2019,0.26,-0.0255,2.3687,100,1
AAPL,208.49,AAPL190913C00177500,08/30/2019,29,0.9904,1.0244,100,1
AAPL,208.49,AAPL190913P00177500,08/30/2019,0.31,-0.0319,2.853,100,-1
AAPL,208.49,AAPL190913C00180000,08/30/2019,25.55,0.9839,1.6021,100,-1
AAPL,208.49,AAPL190913P00180000,08/30/2019,0.31,-0.0421,3.5789,100,1
AAPL,208.49,AAPL190913C00182500,08/30/2019,26.18,0.9742,2.3949,100,1
AAPL,208.49,AAPL190913P00182500,08/30/2019,0.43,-0.0488,4.0327,100,-1
AAPL,208.49,AAPL190913C00185000,08/30/2019,20.5,0.9601,3.4281,100,1
AAPL,208.49,AAPL190913P00185000,08/30/2019,0.49,-0.0625,4.9005,100,-1
AAPL,208.49,AAPL190913C00187500,08/30/2019,22.68,0.9406,4.7067,100,1
AAPL,208.49,AAPL190913P00187500,08/30/2019,0.64,-0.0739,5.5765,100,1
AAPL,208.49,AAPL190913C00190000,08/30/2019,18.4,0.9149,6.2081,100,1
AAPL,208.49,AAPL190913P00190000,08/30/2019,0.69,-0.0919,6.5718,100,1
AAPL,208.49,AAPL190913C00192500,08/30/2019,18.8,0.8957,7.2128,100,-1
AAPL,208.49,AAPL190913P00192500,08/30/2019,0.88,-0.1151,7.7377,100,1
AAPL,208.49,AAPL190913C00195000,08/30/2019,14.85,0.8594,8.8939,100,-1
AAPL,208.49,AAPL190913P00195000,08/30/2019,1.12,-0.1462,9.1344,100,1
AAPL,208.49,AAPL190913C00197500,08/30/2019,12.44,0.8188,10.4991,100,1
AAPL,208.49,AAPL190913P00197500,08/30/2019,1.42,-0.1852,10.6426,100,-1
AAPL,208.49,AAPL190913C00200000,08/30/2019,10.6,0.7675,12.174,100,1
AAPL,208.49,AAPL190913P00200000,08/30/2019,1.84,-0.2341,12.2187,100,1
AAPL,208.49,AAPL190913C00202500,08/30/2019,8.35,0.7066,13.7135,100,1
AAPL,208.49,AAPL190913P00202500,08/30/2019,2.5,-0.2955,13.7601,100,-1
AAPL,208.49,AAPL190913C00205000,08/30/2019,6.85,0.6342,14.9891,100,1
AAPL,208.49,AAPL190913P00205000,08/30/2019,3,-0.3657,14.9871,100,-1
AAPL,208.49,AAPL190913C00207500,08/30/2019,5.25,0.5517,15.7634,100,1
AAPL,208.49,AAPL190913P00207500,08/30/2019,3.95,-0.4485,15.7647,100,1
AAPL,208.49,AAPL190913C00210000,08/30/2019,3.75,0.4611,15.8215,100,1
AAPL,208.49,AAPL190913P00210000,08/30/2019,5,-0.539,15.821,100,1
AAPL,208.49,AAPL190913C00212500,08/30/2019,2.58,0.369,15.0327,100,1
AAPL,208.49,AAPL190913P00212500,08/30/2019,6.45,-0.6333,15.0013,100,1
AAPL,208.49,AAPL190913C00215000,08/30/2019,1.7,0.2799,13.4119,100,1
AAPL,208.49,AAPL190913P00215000,08/30/2019,8.95,-0.7152,13.5237,100,-1
AAPL,208.49,AAPL190913C00217500,08/30/2019,1.05,0.1976,11.0763,100,-1
AAPL,208.49,AAPL190913P00217500,08/30/2019,9.7,-0.8053,10.9763,100,-1
AAPL,208.49,AAPL190913C00220000,08/30/2019,0.61,0.1352,8.6617,100,-1
AAPL,208.49,AAPL190913P00220000,08/30/2019,13,-0.8793,8.0057,100,1
AAPL,208.49,AAPL190913C00222500,08/30/2019,0.32,0.0814,6.0014,100,1
AAPL,208.49,AAPL190913P00222500,08/30/2019,14.23,-0.9231,5.7491,100,-1
AAPL,208.49,AAPL190913C00225000,08/30/2019,0.22,0.052,4.2402,100,-1
AAPL,208.49,AAPL190913P00225000,08/30/2019,20.75,-0.9534,3.8874,100,-1
AAPL,208.49,AAPL190913C00227500,08/30/2019,0.12,0.0177,1.7399,100,-1
AAPL,208.49,AAPL190913P00227500,08/30/2019,14.96,-0.9731,2.4799,100,1
AAPL,208.49,AAPL190913C00230000,08/30/2019,0.08,0.0088,0.9539,100,1
AAPL,208.49,AAPL190913P00230000,08/30/2019,26.3,-0.9852,1.4956,100,1
AAPL,208.49,AAPL190913C00232500,08/30/2019,0.06,0.0042,0.4903,100,1
AAPL,208.49,AAPL190913P00232500,08/30/2019,0,-0.9922,0.8542,100,-1
AAPL,208.49,AAPL190913C00235000,08/30/2019,0.04,0.0019,0.2368,100,-1
AAPL,208.49,AAPL190913P00235000,08/30/2019,26.5,-0.9961,0.4629,100,-1
AAPL,208.49,AAPL190913C00237500,08/30/2019,0.02,0.0008,0.1077,100,-1
AAPL,208.49,AAPL190913P00237500,08/30/2019,0,-0.9981,0.2384,100,1
AAPL,208.49,AAPL190913C00240000,08/30/2019,0.02,0.0003,0.0462,100,1
AAPL,208.49,AAPL190913P00240000,08/30/2019,29.2,-0.9991,0.1169,100,-1
AAPL,208.49,AAPL190913C00242500,08/30/2019,0.01,0.0001,0.0187,100,-1
AAPL,208.49,AAPL190913P00242500,08/30/2019,0,-0.9996,0.0547,100,1
AAPL,208.49,AAPL190913C00245000,08/30/2019,0.02,0,0.0072,100,1
AAPL,208.49,AAPL190913P00245000,08/30/2019,0,-0.9998,0.0244,100,-1
AAPL,208.49,AAPL190913C00247500,08/30/2019,0,0,0.0026,100,1
AAPL,208.49,AAPL190913P00247500,08/30/2019,0,-0.9999,0.0104,100,-1
AAPL,208.49,AAPL190913C00250000,08/30/2019,0.01,0,0.0009,100,1
AAPL,208.49,AAPL190913P00250000,08/30/2019,0,-1,0.0043,100,1
AAPL,208.49,AAPL190920C00095000,08/30/2019,108.04,1,0,100,-1
AAPL,208.49,AAPL190920P00095000,08/30/2019,0,0,0,100,-1
AAPL,208.49,AAPL190920C00100000,08/30/2019,102.67,1,0,100,1
AAPL,208.49,AAPL190920P00100000,08/30/2019,0.02,0,0,100,1
AAPL,208.49,AAPL190920C00105000,08/30/2019,106.8,1,0,100,1
AAPL,208.49,AAPL190920P00105000,08/30/2019,0.01,0,0,100,1
AAPL,208.49,AAPL190920C00110000,08/30/2019,92.35,1,0,100,-1
AAPL,208.49,AAPL190920P00110000,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190920C00115000,08/30/2019,96.6,1,0,100,1
AAPL,208.49,AAPL190920P00115000,08/30/2019,0.01,0,0,100,-1
AAPL,208.49,AAPL190920C00120000,08/30/2019,83.32,1,0,100,-1
AAPL,208.49,AAPL190920P00120000,08/30/2019,0,0,0.0003,100,1
AAPL,208.49,AAPL190920C00125000,08/30/2019,80.66,1,0,100,-1
AAPL,208.49,AAPL190920P00125000,08/30/2019,0.02,0,0.0012,100,-1
AAPL,208.49,AAPL190920C00130000,08/30/2019,74.45,1,0,100,1
AAPL,208.49,AAPL190920P00130000,08/30/2019,0.02,0,0.005,100,-1
AAPL,208.49,AAPL190920C00135000,08/30/2019,67.92,1,0,100,-1
AAPL,208.49,AAPL190920P00135000,08/30/2019,0.03,-0.0001,0.0174,100,1
AAPL,208.49,AAPL190920C00140000,08/30/2019,67.7,1,0,100,-1
AAPL,208.49,AAPL190920P00140000,08/30/2019,0.03,-0.0003,0.0527,100,-1
AAPL,208.49,AAPL190920C00145000,08/30/2019,56.15,1,0.0001,100,1
AAPL,208.49,AAPL190920P00145000,08/30/2019,0.05,-0.0008,0.1401,100,-1
AAPL,208.49,AAPL190920C00150000,08/30/2019,55.45,1,0.0008,100,1
AAPL,208.49,AAPL190920P00150000,08/30/2019,0.07,-0.0021,0.3314,100,1
AAPL,208.49,AAPL190920C00155000,08/30/2019,54,1,0.0055,100,1
AAPL,208.49,AAPL190920P00155000,08/30/2019,0.11,-0.0049,0.7048,100,1
AAPL,208.49,AAPL190920C00160000,08/30/2019,48.75,0.9999,0.0281,100,1
AAPL,208.49,AAPL190920P00160000,08/30/2019,0.16,-0.0104,1.3597,100,-1
AAPL,208.49,AAPL190920C00165000,08/30/2019,43.7,0.9993,0.1155,100,-1
AAPL,208.49,AAPL190920P00165000,08/30/2019,0.22,-0.0202,2.3995,100,1
AAPL,208.49,AAPL190920C00170000,08/30/2019,38.2,0.9975,0.3863,100,1
AAPL,208.49,AAPL190920P00170000,08/30/2019,0.29,-0.03,3.348,100,-1
AAPL,208.49,AAPL190920C00175000,08/30/2019,33.7,0.9921,1.0692,100,-1
AAPL,208.49,AAPL190920P00175000,08/30/2019,0.41,-0.0401,4.2512,100,-1
AAPL,208.49,AAPL190920C00180000,08/30/2019,28.22,0.979,2.4849,100,-1
AAPL,208.49,AAPL190920P00180000,08/30/2019,0.54,-0.0588,5.7727,100,-1
AAPL,208.49,AAPL190920C00182500,08/30/2019,26,0.9677,3.5632,100,1
AAPL,208.49,AAPL190920P00182500,08/30/2019,0.74,-0.0695,6.5729,100,-1
AAPL,208.49,AAPL190920C00185000,08/30/2019,24.29,0.952,4.9154,100,1
AAPL,208.49,AAPL190920P00185000,08/30/2019,0.77,-0.0834,7.551,100,1
AAPL,208.49,AAPL190920C00187500,08/30/2019,21.65,0.931,6.5331,100,-1
AAPL,208.49,AAPL190920P00187500,08/30/2019,0.91,-0.1014,8.7265,100,1
AAPL,208.49,AAPL190920C00190000,08/30/2019,19.4,0.9041,8.3777,100,-1
AAPL,208.49,AAPL190920P00190000,08/30/2019,1.13,-0.1234,10.0379,100,1
AAPL,208.49,AAPL190920C00192500,08/30/2019,16.75,0.8705,10.3794,100,1
AAPL,208.49,AAPL190920P00192500,08/30/2019,1.39,-0.1435,11.1388,100,-1
AAPL,208.49,AAPL190920C00195000,08/30/2019,14.65,0.8303,12.44,100,-1
AAPL,208.49,AAPL190920P00195000,08/30/2019,1.7,-0.1766,12.7585,100,-1
AAPL,208.49,AAPL190920C00197500,08/30/2019,13.31,0.7834,14.4411,100,-1
AAPL,208.49,AAPL190920P00197500,08/30/2019,2.11,-0.2448,15.4622,100,-1
AAPL,208.49,AAPL190920C00200000,08/30/2019,11.3,0.7305,16.2564,100,1
AAPL,208.49,AAPL190920P00200000,08/30/2019,2.65,-0.2768,16.4735,100,-1
AAPL,208.49,AAPL190920C00202500,08/30/2019,9.45,0.6791,17.6173,100,1
